0,-1,-1
1,0,35
2,0,82
3,1,82
4,2,82
5,3,82
6,4,82
7,5,82
8,6,82
9,7,82
10,0,129
11,1,129
12,2,129
13,3,129
14,4,129
15,5,129
16,6,129
17,7,129
18,0,131
19,1,131
20,2,131
21,3,131
22,4,131
23,5,131
24,6,131
25,7,131
26,0,135
27,1,135
28,2,135
29,3,135
30,4,135
31,5,135
32,6,135
33,7,135
34,0,179
35,1,179
36,2,179
37,3,179
38,4,179
39,5,179
40,6,179
41,7,179
42,0,190
43,1,190
44,2,190
45,3,190
46,4,190
47,5,190
48,6,190
49,7,190
50,0,192
51,1,192
52,2,192
53,3,192
54,4,192
55,5,192
56,6,192
57,7,192
58,0,220
59,1,220
60,2,220
61,3,220
62,4,220
63,5,220
64,6,220
65,7,220
66,0,236
67,1,236
68,2,236
70,4,236
71,5,236
72,6,236
73,7,236
74,0,245
75,1,245
76,2,245
78,4,245
80,6,245
81,7,245
82,0,254
83,1,254
84,2,254
86,4,254
88,6,254
89,7,254
90,0,303
91,1,303
92,2,303
94,4,303
96,6,303
98,0,307
99,1,307
100,2,307
102,4,307
104,6,307
106,0,347
107,1,347
108,2,347
110,4,347
112,6,347
114,0,356
115,1,356
116,2,356
117,3,356
118,4,356
120,6,356
122,0,380
124,2,380
126,4,380
128,6,380
130,0,407
132,2,407
134,4,407
135,5,407
138,0,423
139,1,423
140,2,423
142,4,423
144,6,423
146,0,461
148,2,461
150,4,461
154,0,466
155,1,466
162,0,498
164,2,498
168,6,498
169,7,498
170,0,511
172,2,511
177,7,511
178,0,561
186,0,570
194,0,612
195,1,612
199,5,612
202,0,653
204,2,653
210,0,700
214,4,700
218,0,720
226,0,746
231,5,746
233,7,746
234,0,761
235,1,761
242,0,799
250,0,811
257,7,811
258,0,823
266,0,865
270,4,865
274,0,902
282,0,940
283,1,940
290,0,966
294,4,966
298,0,986
306,0,1004
314,0,1027
322,0,1050
330,0,1068
338,0,1110
346,0,1146
354,0,1186
362,0,1191
370,0,1232
378,0,1262
386,0,1289
394,0,1306
402,0,1347
410,0,1362
418,0,1365
419,1,1365
420,2,1365
426,0,1370
434,0,1419
442,0,1441
450,0,1447
458,0,1468
466,0,1500
474,0,1550
482,0,1597
490,0,1643
498,0,1683
506,0,1703
514,0,1739
522,0,1788
530,0,1795
538,0,1829
546,0,1862
554,0,1881
562,0,1911
570,0,1940
578,0,1953
586,0,2001
593,7,2001
594,0,2006
602,0,2038
610,0,2076
618,0,2082
626,0,2111
634,0,2160
642,0,2189
647,5,2189
650,0,2199
653,3,2199
658,0,2203
666,0,2224
674,0,2260
682,0,2303
690,0,2312
698,0,2330
706,0,2342
714,0,2353
722,0,2374
730,0,2393
738,0,2405
746,0,2406
754,0,2413
762,0,2433
770,0,2454
778,0,2459
786,0,2509
794,0,2536
802,0,2555
810,0,2558
818,0,2601
823,5,2601
826,0,2607
834,0,2644
842,0,2668
850,0,2670
858,0,2683
866,0,2706
874,0,2724
882,0,2740
890,0,2788
898,0,2795
906,0,2824
922,0,2829
930,0,2849
934,4,2849
914,0,2898
954,0,2948
962,0,2995
938,0,3014
946,0,3014
970,0,3017
978,0,3017
986,0,3022
994,0,3068
1002,0,3076
1010,0,3078
1034,0,3133
1018,0,3210
1050,0,3210
1026,0,3230
1042,0,3230
1058,0,3343
1066,0,3343
1114,0,3438
1074,0,3497
1082,0,3527
1154,0,3600
1165,3,3614
1170,0,3618
1090,0,3642
1098,0,3675
1106,0,3675
1122,0,3720
1204,2,3720
1226,0,3780
1242,0,3857
1258,0,3891
1130,0,3971
1138,0,3971
1274,0,3971
1282,0,4016
1146,0,4034
1162,0,4123
1306,0,4123
1178,0,4168
1186,0,4168
1322,0,4196
1330,0,4220
1194,0,4258
1202,0,4312
